sample_idx,class_c,b,V1,V2,V2_over_V1,V3_c,V3_k0,V3_k1,V3_k2,V3_k3,V3_k4,V3_k5,V3_k6,V3_k7,V3_k8,V3_k9
282,9,10,1.710097,1.654553,0.96752,1.654553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.654553
282,9,12,1.710097,1.704103,0.996495,1.704103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704103
282,9,16,1.710097,1.709615,0.999718,1.709615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.709615
655,0,4,1.492481,0.727296,0.487307,0.727296,0.727296,0.0,0.0,0.0,0.0,0.0,0.111726,0.0,0.0,0.0
655,0,6,1.492481,1.079509,0.723299,1.079509,1.079509,0.0,0.553163,0.0,0.0,0.0,0.677686,0.0,0.0,0.0
655,0,8,1.492481,1.337575,0.896209,1.337575,1.337575,0.0,0.91779,0.433486,0.0,0.0,1.009299,0.0,0.0,0.0
655,0,10,1.492481,1.418027,0.950114,1.418027,1.418027,0.0,0.0,0.659762,0.0,0.0,0.233874,0.0,0.0,0.0
655,0,12,1.492481,1.472948,0.986913,1.472948,1.472948,0.0,0.0,0.717961,0.0,0.0,0.0,0.0,0.0,0.0
655,0,16,1.492481,1.492478,0.999998,1.492478,1.492478,0.0,1.14683,0.930827,0.308923,0.0,1.123157,0.0,0.0,0.0
755,6,4,1.244854,0.601381,0.483093,0.601381,0.0,0.0,0.0,0.0,0.0,0.0,0.601381,0.0,0.0,0.0
755,6,6,1.244854,0.891561,0.716197,0.891561,0.705871,0.0,0.0,0.0,0.0,0.0,0.891561,0.0,0.0,0.0
755,6,8,1.244854,1.108067,0.890118,1.108067,0.83644,0.0,0.0,0.0,0.0,0.0,1.108067,0.0,0.0,0.0
755,6,10,1.244854,1.197178,0.961702,1.197178,1.061394,0.0,0.0,0.510583,0.0,0.0,1.197178,0.0,0.0,0.0
755,6,12,1.244854,1.237589,0.994164,1.237589,1.101801,0.0,0.0,0.525731,0.0,0.0,1.237589,0.0,0.0,0.0
755,6,16,1.244854,1.244555,0.99976,1.244555,1.10925,0.0,0.0,0.570168,0.0,0.0,1.244555,0.0,0.0,0.0
760,2,4,1.98698,0.98873,0.497604,0.98873,0.0,0.0,0.98873,0.0,0.103967,0.0,0.0,0.0,0.0,0.0
760,2,6,1.98698,1.555707,0.78295,1.555707,0.0,0.0,1.555707,0.0,0.733132,0.0,1.19834,0.0,0.0,0.0
760,2,8,1.98698,1.785364,0.898532,1.785364,0.585564,0.953073,1.785364,0.0,1.499407,0.0,1.556194,0.0,0.870468,1.070706
760,2,10,1.98698,1.934733,0.973705,1.934733,0.0,1.190724,1.934733,0.0,1.649237,0.0,1.656564,0.0,1.161542,1.231863
760,2,12,1.98698,1.972028,0.992475,1.972028,1.222902,1.257178,1.972028,0.0,1.679731,0.0,1.758376,0.0,1.224559,1.309833
760,2,16,1.98698,1.986581,0.999799,1.986581,1.245501,1.282344,1.986581,0.261845,1.709531,0.0,1.769967,0.573924,1.253064,1.335955
