sample_idx,class_c,b,V1,V2,V2_over_V1,V3_c,V3_k0,V3_k1,V3_k2,V3_k3,V3_k4,V3_k5,V3_k6,V3_k7,V3_k8,V3_k9
281,4,12,40.157296,40.153165,0.999897,40.153165,0.0,0.0,0.0,0.0,40.153165,0.0,0.0,0.0,0.0,0.0
281,4,16,40.157296,40.157001,0.999993,40.157001,0.0,0.0,0.0,0.0,40.157001,0.0,0.0,0.0,0.0,0.0
659,2,4,40.025652,37.961434,0.948428,37.961434,0.0,0.0,37.961434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,2,6,40.025652,39.382132,0.983922,39.382132,0.0,0.0,39.382132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,2,8,40.025652,39.898937,0.996834,39.898937,0.0,0.0,39.898937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,2,10,40.025652,39.972736,0.998678,39.972736,0.0,0.0,39.972736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,2,12,40.025652,40.02021,0.999864,40.02021,0.0,0.0,40.02021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,2,16,40.025652,40.025309,0.999991,40.025309,0.0,0.0,40.025309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,0,4,40.103871,38.157387,0.951464,38.157387,38.157387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,0,6,40.103871,39.664756,0.989051,39.664756,39.664756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,0,8,40.103871,39.913283,0.995248,39.913283,39.913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,0,10,40.103871,40.001559,0.997449,40.001559,40.001559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,0,12,40.103871,40.099641,0.999895,40.099641,40.099641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,0,16,40.103871,40.103603,0.999993,40.103603,40.103603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,0,4,40.041439,38.274902,0.955882,38.274902,38.274902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,0,6,40.041439,39.654223,0.99033,39.654223,39.654223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,0,8,40.041439,39.968129,0.998169,39.968129,39.968129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,0,10,40.041439,40.022296,0.999522,40.022296,40.022296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,0,12,40.041439,40.036904,0.999887,40.036904,40.036904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,0,16,40.041439,40.041142,0.999993,40.041142,40.041142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
